rule_id,match_stage,primary_conditions,trigger_condition,recommended_teas,base_teas,add_on_teas,priority,rule_type,raw_rule
step2::1.1,step2_symptom_combination,血压高、血糖高、尿酸高、血脂高,"轻症患者清平茶+元气茶,严重血糖高",甘平茶、元气茶、风清茶、石斛茶,甘平茶、元气茶、风清茶、石斛茶,,2,combination,"血压高、血糖高、尿酸高、血脂高:轻症患者清平茶+元气茶,严重血糖高:甘平茶+元气茶,严重脂肪肝:风清茶+石斛茶;肥胖症:清平茶+清和茶;严重高血压:平澜茶+元气茶;严重高血脂:元气茶+风清茶;严重高尿酸:茯清茶+元气茶"
step2::1.2,step2_symptom_combination,血压高、血糖高、尿酸高、血脂高,肥胖症,清平茶、清和茶,清平茶、清和茶,,2,combination,"血压高、血糖高、尿酸高、血脂高:轻症患者清平茶+元气茶,严重血糖高:甘平茶+元气茶,严重脂肪肝:风清茶+石斛茶;肥胖症:清平茶+清和茶;严重高血压:平澜茶+元气茶;严重高血脂:元气茶+风清茶;严重高尿酸:茯清茶+元气茶"
step2::1.3,step2_symptom_combination,血压高、血糖高、尿酸高、血脂高,严重高血压,平澜茶、元气茶,平澜茶、元气茶,,2,combination,"血压高、血糖高、尿酸高、血脂高:轻症患者清平茶+元气茶,严重血糖高:甘平茶+元气茶,严重脂肪肝:风清茶+石斛茶;肥胖症:清平茶+清和茶;严重高血压:平澜茶+元气茶;严重高血脂:元气茶+风清茶;严重高尿酸:茯清茶+元气茶"
step2::1.4,step2_symptom_combination,血压高、血糖高、尿酸高、血脂高,严重高血脂,元气茶、风清茶,元气茶、风清茶,,2,combination,"血压高、血糖高、尿酸高、血脂高:轻症患者清平茶+元气茶,严重血糖高:甘平茶+元气茶,严重脂肪肝:风清茶+石斛茶;肥胖症:清平茶+清和茶;严重高血压:平澜茶+元气茶;严重高血脂:元气茶+风清茶;严重高尿酸:茯清茶+元气茶"
step2::1.5,step2_symptom_combination,血压高、血糖高、尿酸高、血脂高,严重高尿酸,茯清茶、元气茶,茯清茶、元气茶,,2,combination,"血压高、血糖高、尿酸高、血脂高:轻症患者清平茶+元气茶,严重血糖高:甘平茶+元气茶,严重脂肪肝:风清茶+石斛茶;肥胖症:清平茶+清和茶;严重高血压:平澜茶+元气茶;严重高血脂:元气茶+风清茶;严重高尿酸:茯清茶+元气茶"
step2::2.1,step2_symptom_combination,呼吸道疾病,"橘红茶+散云茶,如有气不足",橘红茶、散云茶、元气茶,橘红茶、散云茶,元气茶,2,add_on,"呼吸道疾病:橘红茶+散云茶,如有气不足:橘红茶+散云茶+元气茶"
step2::3.1,step2_symptom_combination,消化道疾病,,香橼茶、元气茶,香橼茶、元气茶,,2,combination,消化道疾病:香橼茶+元气茶;萎缩性胃炎:香橼茶+散云茶;慢性肠炎:香橼茶+散云茶;肠化生:香橼茶+散云茶
step2::3.2,step2_symptom_combination,消化道疾病,萎缩性胃炎,香橼茶、散云茶,香橼茶、散云茶,,2,combination,消化道疾病:香橼茶+元气茶;萎缩性胃炎:香橼茶+散云茶;慢性肠炎:香橼茶+散云茶;肠化生:香橼茶+散云茶
step2::3.3,step2_symptom_combination,消化道疾病,慢性肠炎,香橼茶、散云茶,香橼茶、散云茶,,2,combination,消化道疾病:香橼茶+元气茶;萎缩性胃炎:香橼茶+散云茶;慢性肠炎:香橼茶+散云茶;肠化生:香橼茶+散云茶
step2::3.4,step2_symptom_combination,消化道疾病,肠化生,香橼茶、散云茶,香橼茶、散云茶,,2,combination,消化道疾病:香橼茶+元气茶;萎缩性胃炎:香橼茶+散云茶;慢性肠炎:香橼茶+散云茶;肠化生:香橼茶+散云茶
step2::4.1,step2_symptom_combination,便秘,,香橼茶、元气茶,香橼茶、元气茶,,2,combination,便秘:香橼茶+元气茶
step2::5.1,step2_symptom_combination,肾结石,,茯清茶、元气茶,茯清茶、元气茶,,2,combination,肾结石:茯清茶+元气茶
step2::6.1,step2_symptom_combination,肝病,,石斛茶、元气茶,石斛茶、元气茶,,2,combination,肝病:石斛茶+元气茶
step2::7.1,step2_symptom_combination,痛风,,茯清茶、元气茶,茯清茶、元气茶,,2,combination,痛风:茯清茶+元气茶
step2::8.1,step2_symptom_combination,肺结节,,橘红茶、散云茶,橘红茶、散云茶,,2,combination,肺结节:橘红茶+散云茶
step2::9.1,step2_symptom_combination,视力模糊,"桑菊茶+元气茶,视力模糊且有糖尿病史",甘平茶、桑菊茶,甘平茶、桑菊茶,,2,combination,"视力模糊:桑菊茶+元气茶,视力模糊且有糖尿病史:甘平茶+桑菊茶"
step2::10.1,step2_symptom_combination,妇科肿瘤,"散云茶+元气茶,月经不调",固本茶、散云茶,固本茶、散云茶,,2,combination,"妇科肿瘤:散云茶+元气茶,月经不调:固本茶+散云茶"
step2::11.1,step2_symptom_combination,乳腺结节、甲状腺结节,,散云茶、元气茶,散云茶、元气茶,,2,combination,乳腺结节、甲状腺结节:散云茶+元气茶;亚急性甲状腺炎、甲状腺弥漫性病变、甲减:散云茶+固本茶
step2::11.2,step2_symptom_combination,乳腺结节、甲状腺结节,亚急性甲状腺炎、甲状腺弥漫性病变、甲减,散云茶、固本茶,散云茶、固本茶,,2,combination,乳腺结节、甲状腺结节:散云茶+元气茶;亚急性甲状腺炎、甲状腺弥漫性病变、甲减:散云茶+固本茶
step2::12.1,step2_symptom_combination,失眠,"舒安茶,如有脑供血不足",舒安茶、元气茶,舒安茶,元气茶,2,add_on,"失眠:舒安茶,如有脑供血不足:舒安茶+元气茶"
step2::13.1,step2_symptom_combination,抑郁症,,舒安茶、元气茶,舒安茶、元气茶,,2,combination,抑郁症:舒安茶+元气茶
step2::14.1,step2_symptom_combination,学习能力差,,舒安茶、元气茶,舒安茶、元气茶,,2,combination,学习能力差:舒安茶+元气茶
step2::15.1,step2_symptom_combination,小孩发育迟缓,,固本茶、元气茶,固本茶、元气茶,,2,combination,小孩发育迟缓:固本茶+元气茶
step2::16.1,step2_symptom_combination,儿童消化不良及消瘦,,香橼茶、石斛茶、元气茶,香橼茶、石斛茶、元气茶,,2,combination,儿童消化不良及消瘦:香橼茶+石斛茶+元气茶
step2::17.1,step2_symptom_combination,饭后饱胀,,香橼茶、元气茶,香橼茶、元气茶,,2,combination,饭后饱胀:香橼茶+元气茶
step2::18.1,step2_symptom_combination,食欲不振,,香橼茶、元气茶、清和茶,香橼茶、元气茶、清和茶,,2,combination,食欲不振:香橼茶+元气茶+清和茶
